序号,电脑时间戳,接收时间戳,发送时间戳,时延（毫秒）,纬度,经度,海拔,速度（km/h）,锁星数,地面航向(度）,ID,msgCnt,TotalRcvMsgCount,TotalLostMsgCount,AID,Source_Layer2-ID,Dest MAC ID,Priority,Power(dBm),RSSI(dBm),SINR(dB),CBR(%),MCS,RSRP(dBm),EARFCN,Band,TB Size(bit),Type,Label
104,1699941110,1699941107,1699941107,-235.684,116.491668,39.729177,22.7,8.834,46,59.21,696E636830303000,99,89,112,3619,8000001,7,8,-118,-90,4,1,5,-118,55140,47,4264,SPAT,normal
106,1699941110,1699941107,1699941107,-237.997,116.49167,39.729178,22.7,8.816,46,57.11,,100,90,112,3619,8000001,7,8,-115,-87,6,1,5,-115,55140,47,4264,SPAT,normal
107,1699941110,1699941107,1699941107,-242.489,116.491672,39.729179,22.7,8.816,46,57.11,696E636830303000,101,91,112,3619,8000001,7,8,-119,-91,3,1,5,-119,55140,47,4264,SPAT,normal
108,1699941110,1699941107,1699941107,-236.696,116.491676,39.729181,22.7,8.834,46,59.21,696E636830303000,102,92,112,3619,8000001,7,8,-120,-91,1,1,5,-120,55140,47,4264,SPAT,normal
109,1699941110,1699941107,1699941107,-242.613,116.491678,39.729182,22.7,8.816,46,57.11,696E636830303000,103,93,112,3619,8000001,7,8,-115,-87,6,1,5,-115,55140,47,4264,SPAT,normal
110,1699941111,1699941107,1699941108,-217.784,116.491686,39.729186,22.7,8.834,46,59.21,696E636830303000,106,94,114,3619,8000001,7,8,-124,-93,-1,2,5,-124,55140,47,4264,SPAT,normal
111,1699941111,1699941108,1699941108,-241.354,116.491687,39.729186,22.7,8.834,46,59.21,,107,95,114,3619,8000001,7,8,-118,-90,4,1,5,-118,55140,47,4264,SPAT,normal
112,1699941111,1699941108,1699941108,-237.761,116.49169,39.729188,22.6,8.871,46,58.5,,108,96,114,3619,8000001,7,8,-116,-88,5,1,5,-116,55140,47,4264,SPAT,normal
113,1699941111,1699941108,1699941108,-236.998,116.491693,39.729189,22.7,8.816,46,57.11,696E636830303000,109,97,114,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,SPAT,normal
114,1699941111,1699941108,1699941108,-234.687,116.491695,39.72919,22.7,8.816,46,57.11,696E636830303000,110,98,114,3619,8000001,7,8,-118,-90,4,2,5,-118,55140,47,4264,SPAT,normal
